Date,Description,Merchant,Category,Amount
2023-12-31,Spotify purchase,Spotify,Entertainment,393.21
2024-06-09,Starbucks purchase,Starbucks,Dining,421.62
2024-03-30,Cash Withdrawal purchase,Cash Withdrawal,Misc,472.78
2023-01-07,edX purchase,edX,Education,335.27
2023-07-15,Uber purchase,Uber,Transport,59.38
2023-02-22,Cash Withdrawal purchase,Cash Withdrawal,Misc,484.11
2024-03-26,Spotify purchase,Spotify,Entertainment,113.1
2024-01-25,Udemy purchase,Udemy,Education,410.45
2024-04-10,Coursera purchase,Coursera,Education,129.61
2023-06-30,McDonald's purchase,McDonald's,Dining,402.45
2024-05-03,AMC Theatres purchase,AMC Theatres,Entertainment,155.33
2024-02-15,Health Clinic purchase,Health Clinic,Health,454.09
2023-08-22,Udemy purchase,Udemy,Education,424.86
2024-02-12,AMC Theatres purchase,AMC Theatres,Entertainment,114.17
2023-06-21,Target purchase,Target,Shopping,265.59
2023-03-17,Starbucks purchase,Starbucks,Dining,61.04
2024-07-04,Health Clinic purchase,Health Clinic,Health,246.67
2024-05-12,Udemy purchase,Udemy,Education,221.85
2023-08-04,Skillshare purchase,Skillshare,Education,173.46
2024-04-28,ExxonMobil purchase,ExxonMobil,Transport,108.09
2024-06-23,Gift Shop purchase,Gift Shop,Misc,291.84
2023-07-06,Health Clinic purchase,Health Clinic,Health,119.47
2023-11-22,Airbnb purchase,Airbnb,Travel,81.35
2023-08-26,Udemy purchase,Udemy,Education,311.44
2024-05-27,Gas Supply purchase,Gas Supply,Utilities,318.82
2023-10-03,Electric Co purchase,Electric Co,Utilities,377.33
2023-01-18,Amazon purchase,Amazon,Shopping,427.68
2023-09-05,edX purchase,edX,Education,43.14
2023-06-01,Airbnb purchase,Airbnb,Travel,167.18
2023-08-28,Coursera purchase,Coursera,Education,392.67
2023-07-15,Chipotle purchase,Chipotle,Dining,251.74
2023-09-19,Costco purchase,Costco,Groceries,61.34
2023-01-21,Water Works purchase,Water Works,Utilities,367.56
2023-03-14,Trader Joe's purchase,Trader Joe's,Groceries,499.37
2023-10-02,Udemy purchase,Udemy,Education,471.76
2023-01-08,Expedia purchase,Expedia,Travel,164.32
2023-02-07,eBay purchase,eBay,Shopping,486.5
2023-09-18,Hulu purchase,Hulu,Entertainment,306.96
2023-11-07,Coursera purchase,Coursera,Education,236.47
2023-03-26,Gas Supply purchase,Gas Supply,Utilities,279.16
2023-03-12,AMC Theatres purchase,AMC Theatres,Entertainment,135.87
2023-10-19,Cash Withdrawal purchase,Cash Withdrawal,Misc,61.32
2023-08-26,Cash Withdrawal purchase,Cash Withdrawal,Misc,423.71
2023-06-04,AMC Theatres purchase,AMC Theatres,Entertainment,158.53
2024-05-20,Coursera purchase,Coursera,Education,315.69
2023-12-08,Internet Provider purchase,Internet Provider,Utilities,378.94
2023-02-26,Expedia purchase,Expedia,Travel,172.6
2024-05-04,Internet Provider purchase,Internet Provider,Utilities,144.9
2023-12-31,Gift Shop purchase,Gift Shop,Misc,143.89
2023-01-29,AMC Theatres purchase,AMC Theatres,Entertainment,372.77
2023-08-23,Delta purchase,Delta,Travel,202.59
2023-01-26,Best Buy purchase,Best Buy,Shopping,176.09
2023-11-28,Spotify purchase,Spotify,Entertainment,107.27
2023-11-08,Gift Shop purchase,Gift Shop,Misc,322.55
2023-10-08,edX purchase,edX,Education,275.05
2024-04-01,Domino's purchase,Domino's,Dining,459.45
2023-06-16,Amazon purchase,Amazon,Shopping,96.69
2024-01-11,edX purchase,edX,Education,134.77
2023-03-15,edX purchase,edX,Education,365.44
2023-01-04,Electric Co purchase,Electric Co,Utilities,32.77
2024-04-30,McDonald's purchase,McDonald's,Dining,432.94
2024-02-20,Spotify purchase,Spotify,Entertainment,405.38
2023-11-14,Health Clinic purchase,Health Clinic,Health,478.24
